method	setting	bytes	artifact	retained_parameters	n	nll_nats	accuracy	macro_f1	ece	compression_ratio	delta_nll	accuracy_loss	acceptable	selection_split	selected	test_n	test_nll_nats	test_accuracy	test_macro_f1	test_ece	payload_bytes	seed
quantization	16.0	54704	quantized.16bit.npz	5121	604	0.011578180754377988	0.9983443708609272	0.9979347250004273	0.009753545611842654	1.1735887686458029	-6.45799659523133e-07	0.0	True	tune	True	1148.0	0.040818684196525276	0.9860627177700348	0.9801108801108801	0.0074237792247294244	13210	2026
quantization	8.0	49583	quantized.8bit.npz	5121	604	0.462389899153674	0.8062913907284768	0.7933774834437086	0.2274932623257281	1.2947986204949278	0.4508110725996365	0.19205298013245042	False	tune	False						8089	2026
quantization	6.0	48303	quantized.6bit.npz	5121	604	8.093263059183323	0.2781456953642384	0.21761658031088082	0.7218273350916309	1.3291099931681263	8.081684232629286	0.7201986754966888	False	tune	False						6809	2026
quantization	4.0	47023	quantized.4bit.npz	5121	604	6.084353894331623	0.2781456953642384	0.21761658031088082	0.7216357991923957	1.365289326499798	6.072775067777585	0.7201986754966888	False	tune	False						5529	2026
quantization	3.0	46383	quantized.3bit.npz	5121	604	6.084353894331623	0.2781456953642384	0.21761658031088082	0.7216357991923957	1.3841278054459607	6.072775067777585	0.7201986754966888	False	tune	False						4889	2026
quantization	2.0	45743	quantized.2bit.npz	5121	604	6.084353894331623	0.2781456953642384	0.21761658031088082	0.7216357991923957	1.4034934306888485	6.072775067777585	0.7201986754966888	False	tune	False						4249	2026
pruning	0.25	74952	pruned.25pct.npz	3841	604	0.015657059680593204	1.0	1.0	0.013710988607073236	0.856548190842139	0.0040782331265556936	-0.0016556291390728006	True	tune	False						33458	2026
pruning	0.5	64704	pruned.50pct.npz	2560	604	0.07444015516202421	0.9768211920529801	0.9718414918414918	0.04891862922879361	0.9922106824925816	0.0628613286079867	0.021523178807947074	False	tune	False						23210	2026
pruning	0.75	54464	pruned.75pct.npz	1280	604	0.179834428520059	0.9470198675496688	0.9374741200828157	0.10715497167354873	1.1787602820211516	0.16825560196602146	0.051324503311258374	False	tune	False						12970	2026
pruning	0.9	48320	pruned.90pct.npz	512	604	2.6605812766850927	0.3228476821192053	0.28381869047791614	0.6370251823104	1.3286423841059603	2.6490024501310554	0.675496688741722	False	tune	False						6826	2026
