method	setting	bytes	artifact	retained_parameters	n	nll_nats	accuracy	macro_f1	ece	compression_ratio	delta_nll	accuracy_loss	acceptable	selection_split	selected	test_n	test_nll_nats	test_accuracy	test_macro_f1	test_ece	payload_bytes	seed
quantization	16.0	2666916	quantized.16bit.npz	1311233	604	0.013767346045023355	0.9950331125827815	0.9937812097812098	0.004696187658102937	1.983053084536596	-2.1952386856287018e-05	0.0	True	tune	False						2625422	2026
quantization	8.0	1355683	quantized.8bit.npz	1311233	604	0.5212069201779314	0.7201986754966887	0.7124741208117967	0.31148341080336384	3.9010860208470564	0.5074176217460518	0.2748344370860928	False	tune	False						1314189	2026
quantization	6.0	1027875	quantized.6bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	5.1452131825367875	0.6793578821280657	0.7168874172185431	False	tune	False						986381	2026
quantization	4.0	700067	quantized.4bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	7.554471214898003	0.6793578821280657	0.7168874172185431	False	tune	False						658573	2026
quantization	3.0	536163	quantized.3bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	9.863858565398955	0.6793578821280657	0.7168874172185431	False	tune	False						494669	2026
quantization	2.0	372259	quantized.2bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	14.20687209711518	0.6793578821280657	0.7168874172185431	False	tune	False						330765	2026
pruning	0.25	7911612	pruned.25pct.npz	983425	604	0.01368023196642759	0.9933774834437086	0.9917236465284534	0.004222123463943725	0.6684650359496902	-0.00010906646545205158	0.0016556291390729116	True	tune	False						7870118	2026
pruning	0.5	5289140	pruned.50pct.npz	655616	604	0.01530038090895867	0.9933774834437086	0.9917236465284534	0.004974846010028111	0.9999047104066068	0.0015110824770790277	0.0016556291390729116	True	tune	False						5247646	2026
pruning	0.75	2666676	pruned.75pct.npz	327808	604	0.03825779607521322	0.9817880794701986	0.9776066330743693	0.01841394508946967	1.9832315586895446	0.02446849764333358	0.013245033112582849	False	tune	False						2625182	2026
pruning	0.9	1093196	pruned.90pct.npz	131123	604	0.13810116078802911	0.9271523178807947	0.9152929177025563	0.07589082959784543	4.837774744876491	0.12431186235614947	0.06788079470198682	False	tune	False						1051702	2026
